feature,rho,p,q
Year,0.9867106304825672,0.0,0.0
Explored Area,0.33739346242235363,4.907274030469251e-143,2.330955164472894e-141
Circle_Nr,0.2675438689990334,2.6494899403182535e-88,8.390051477674469e-87
Dir_Change_Nr,-0.2599354265878739,2.7608520574771465e-83,6.557023636508224e-82
Expl_E_I_AFT_T_Calc,0.22489610352198255,2.1379644980369615e-27,1.0689822490184807e-26
Expl_E_AFT_T_Calc,0.2014573001754256,3.380737460568459e-22,1.2846802350160144e-21
Expl_EI_BEF_Loco_ratio,-0.196036315965324,1.7144862404772356e-47,3.257523856906748e-46
Expl_E_I_TOT_Loco_ratio,-0.19240919951771449,8.760260690205353e-46,1.387041275949181e-44
Expl_I_TOT_Loco_ratio,-0.1869265211331158,2.7849496052458458e-43,3.77957446426222e-42
Expl_E_BEF_Loco_ratio,-0.1778308750989119,2.9328110223715614e-39,3.4827130890662293e-38
Expl_I_BEF_Loco_ratio,-0.17667502291257553,9.148936126793302e-39,9.657210356059598e-38
Expl_E_TOT_Loco_ratio,-0.16394095816624704,1.4767101041487843e-33,1.402874598941345e-32
Expl_REP_I_BEF_AFT_Nr,-0.16206938698302278,6.445850822742396e-33,5.566871165095706e-32
Expl_REP_TOT_Nr,-0.15844621032984194,1.6135322859179302e-31,1.2773797263516947e-30
Expl_I_AFT_T_Calc,0.15613865172386335,7.564690755159852e-14,2.05327320497196e-13
EXPL_BEF,-0.15476536287440146,3.93522923676801e-30,2.875744442253546e-29
Expl_REP_I_BEF_Calc_T,-0.15403870881137394,7.325462725666828e-30,4.9708497067024907e-29
Expl_REP_E_I_BEF_Calc_T,-0.15376293270071018,9.266362056377245e-30,5.868695969038921e-29
Expl_I_BEF_Nr,-0.14947966638214005,3.3733706237602886e-28,2.0029388078576714e-27
Expl_REP_I_BEF_Nr,-0.1478716799883838,1.2659304009380885e-27,7.074316946418729e-27
EXPL_TOT,-0.1473592248943947,1.9235684395564098e-27,1.0152166764325496e-26
Expl_I_BEF_AFT_Nr,-0.14679538049010873,3.0428258842529303e-27,1.445342295020142e-26
Expl_E_BEF_Calc,-0.14236214719544601,1.0518478221696262e-25,4.758359195529261e-25
L_C_Tot,-0.14213897998939276,1.2535193060983126e-25,5.412924276333623e-25
Expl_I_BEF_Calc,-0.14128069095122014,2.479625991339206e-25,1.0241933442488023e-24
Box_REP_I_BEF_Nr,-0.13858234984820608,1.9755807510084058e-24,7.820007139408272e-24
Expl_E_I_BEF_Nr,-0.13093632766449773,5.827950345713897e-22,2.1294433955493084e-21
Box_REP_E_I_BEF_Nr,-0.11955976280068724,1.5057021941909487e-18,5.29784105363482e-18
Expl_E_BEF_AFT_Nr,-0.11941874228917633,1.6522527974815652e-18,5.605857705741026e-18
Expl_REP_BEF_Nr,-0.1176374700072612,5.2902506416242505e-18,1.7330131412217373e-17
Skipping,0.11714155218216865,7.446400616145795e-18,2.358026861779502e-17
Eff_Expl_E,-0.111288988461376,7.43174183872478e-09,1.4408479075078654e-08
L_C_I,-0.11058257691747002,4.471578010891704e-16,1.3703222936603609e-15
EAT_TOT_Nr,-0.10695411909852934,3.937931350870978e-15,1.1690733697898215e-14
L_C,-0.1038440645306039,2.399800876783685e-14,6.908517675589396e-14
Expl_REP_E_BEF_AFT_Nr,-0.10309278802152726,3.684167990501092e-14,1.0293998796988345e-13
Loco_BEF_NR,0.10040759253012516,1.662646054177797e-13,4.3875381985247414e-13
LOCO_TOT,0.09823244657564754,5.475862760550904e-13,1.405964762844151e-12
EAT_I_%,-0.09629152431584233,1.552179238495085e-12,3.780949427103412e-12
EAT_I_Nr,-0.09629152431584233,1.552179238495085e-12,3.780949427103412e-12
EAT_I_T,0.09480699871777794,3.3965978464427423e-12,8.066919885301513e-12
LOCO_BEF,0.09325077066962557,7.620977981485595e-12,1.7658363615637354e-11
EAT_E_%,-0.09163173161448278,1.9845571421020224e-06,3.4278714272671292e-06
EAT_E_Nr,-0.09163173161448278,1.9845571421020224e-06,3.4278714272671292e-06
Eff_Expl_I,-0.09001196374224314,3.9284288425430866e-11,8.88573190575222e-11
EAT_TOT_%%,-0.0886507895448804,7.694973440316462e-11,1.700052271697823e-10
Expl_I_BEF_Calc_T,-0.08776632868447905,1.184712511533317e-10,2.5579020135378433e-10
L_C_E,-0.08774555243226094,5.300496999252444e-06,8.834161665420741e-06
Expl_E_BEF_Nr,-0.08638537542227652,2.304446312429104e-10,4.864942215128109e-10
E_E,-0.0853832905225123,3.710734154824087e-10,7.663472711049744e-10
Box_E_I_BEF_Nr,-0.08241903251171373,1.471567802168463e-09,2.974445557574553e-09
Expl_REP_E_BEF_Calc_T,-0.08119698709649778,2.561521498120355e-09,5.069677965029869e-09
EAT_TOT_T,0.07741745962833678,1.3523075545232283e-08,2.5693843535941338e-08
Eff_Expl_EI,-0.07615472706220341,2.3180517413228023e-08,4.317939518150318e-08
Box_I_BEF_Nr,-0.07520139922578405,3.462456541761413e-08,6.325641758987196e-08
Expl_E_BEF_AFT_T,0.07253975726496711,1.0347316225699385e-07,1.8547076253612108e-07
Expl_REP_E_BEF_Nr,-0.0626545828670047,4.349644925459873e-06,7.378861927119428e-06
Expl_E_TOT_Ratio,0.05711011251497583,2.9393327250559965e-05,4.814424291039994e-05
Box_REP_E_BEF_Nr,-0.05637297019724551,3.587101506958813e-05,5.775841409509953e-05
Expl_E_BEF_Ratio,0.052884052541642454,0.00010951075944600893,0.00017339203578951414
Expl_I_BEF_AFT_T,-0.05110598424559238,0.00017971998491649591,0.0002798917797879854
Expl_REP_I_AFT_Nr,-0.04863999182587569,0.00036389962433906444,0.0005499100908606273
Lat_E_Log,0.048576035817503686,0.0003704657454218963,0.0005499100908606273
LAT_I,0.048576035817503686,0.0003704657454218963,0.0005499100908606273
Expl_E_BEF_T,0.04603857076471469,0.0007542496883817196,0.0011023649291732824
Box_E_BEF_Nr,-0.04017324135394947,0.0032414539715324474,0.00466572920144822
Expl_E_I_BEF_Calc_T,-0.03912305055057463,0.0041458694712096875,0.005878471638282393
Expl_REP_E_AFT_Nr,-0.03744700056782912,0.006070678561258258,0.008481095048816684
Expl_I_BEF_T,-0.037248337090290476,0.006424320893639986,0.008845079491243458
EAT_E_T,0.037041842258847775,0.05500918216269821,0.07158729185556617
Expl_REP_I_AFT_Nr_Calc,-0.03532251114811131,0.09253956275135103,0.11721677948504464
Expl_REP_AFT_Nr,-0.03494432471512655,0.010454006967946138,0.01418758088506976
NR,-0.032856206393834214,0.016068628660975668,0.021500277785812514
Expl_I_AFT_Nr,-0.026665921090956658,0.05107108393947565,0.06738545797569705
Expl_E_I_AFT_Nr,-0.02552693540992511,0.06146412187165982,0.07890664294334707
Expl_I_AFT_Calc,-0.023909107010913134,0.25768759281020087,0.30600401646211356
Expl_E_AFT_Calc,0.023042086555760843,0.2753533633665216,0.32294530271382166
Expl_E_I_BEF_T,0.022175258521122343,0.10478108569035033,0.1309763571129379
LAT_E,0.020418681697139476,0.1347016999257746,0.16405976273011008
Lat_Tot_Log,0.020418681697139476,0.1347016999257746,0.16405976273011008
Expl_E_I_AFT_Calc,-0.019533066515873086,0.3551402763319015,0.3969214853121252
Expl_E_AFT_Nr,-0.01677985729304041,0.21964053789471238,0.264124697468325
Expl_TOT_T,0.01474728916681351,0.2800124456796474,0.3244046626776403
LAT_E_I,0.013189480492915314,0.33396120156298237,0.37769421605337294
Lat_I_Log,0.013189480492915314,0.33396120156298237,0.37769421605337294
A_E,0.01081565126074162,0.4291546266702031,0.4740661573682476
Expl_REP_AFT_Nr_Calc,-0.010101024717589727,0.6305878856452457,0.6730994284977342
Expl_E_I_AFT_T,0.008303191328595909,0.5434205209573388,0.5933902240338758
Expl_E_BEF_Calc_T,0.007180759904592968,0.5988921107967309,0.6465312559737436
Expl_REP_E_AFT_Nr_Calc,0.004962937023508789,0.8132186374259291,0.8489645115984975
Expl_E_AFT_T,0.004720833831599915,0.7297345984586228,0.7702754094841019
Expl_I_AFT_T,-0.0008667125526718648,0.9494263701325778,0.9803859256803792
First_Box location,-0.0004840415482810563,0.9721195993693141,0.9930253972052133
Trials,0.0,1.0,1.0
Paradigm,0.0,1.0,1.0
